video,referrer
https://www.youtube.com/watch?v=Nx5bgyJ7SJ4,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=NFJWy8oyVS0,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=vR1v7AQ8i3k,https://twitter.com/Freddmannen
https://www.youtube.com/watch?v=55o-1On5a2U,https://twitter.com/Freddmannen
https://www.youtube.com/playlist?list=PLjQ9HCQMu_8xtsmVfxruRRWU9qdQsgGYI,https://twitter.com/Freddmannen
https://www.youtube.com/watch?v=xv1Y6TmJwOo,https://twitter.com/Freddmannen
https://www.youtube.com/watch?v=tv0CkmcoGkM,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=6jfSlDvH77k,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=GIHa2GQJY1k,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=ZfkzLlcb4kw&list=PLRHMe0bxkuelaa4Crh8sSrWNP1BHfPpqY,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=QdnQUIPeIzY,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=0fHgAAKR9u8,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=OD54WfVuDWw,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=vhxIjEnhutw&list=PLRHMe0bxkuel3w3C7P_WVvp9ShLi3HKRI,https://twitter.com/0x_emperor
https://www.youtube.com/playlist?list=PLRHMe0bxkueljZryWVd9CE8Xgl8WelLTr,https://twitter.com/0x_emperor
https://www.youtube.com/watch?v=t3sL0sCJFzk,https://twitter.com/0x_emperor
https://www.youtube.com/playlist?list=PLjQ9HCQMu_8ywq3VUso7i_-TOx6RKXQeQ,https://www.twitter.com/unlock_VALue
https://www.youtube.com/playlist?list=PLjQ9HCQMu_8wCvA0s9yW2dXg1jkFlPs7Z,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=viJqYMi6DMo,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=BFVSRSN5E_A,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=G7UllXTcjm4,https://barnabe.substack.com/p/understanding-rollup-economics-from
https://www.youtube.com/watch?v=YoWMLoeQGeI,https://barnabe.substack.com/p/understanding-rollup-economics-from
https://www.youtube.com/watch?v=h-94UhJLeck,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=GBdDNEhszkg,https://www.twitter.com/unlock_VALue
https://www.youtube.com/watch?v=wIrz1Rk-hmo,
https://www.youtube.com/watch?v=pGfihgE_eWw,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=HfTTbxQWWvg,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=kCswGz9naZg,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=RxL_1AfV7N4,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=OxofT39TJgg&t=85s,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=_tcyI_lNvo0,https://www.zaryabs.com/evm-learning-resources/
https://www.youtube.com/watch?v=rV_pAcW1AAY,
https://www.youtube.com/watch?v=eM4UidkvB-o,https://risencrypto.github.io/
https://www.youtube.com/watch?v=nCtJ0eqaEf0,https://risencrypto.github.io/
https://www.youtube.com/watch?v=bxV0OKPz-G4,https://risencrypto.github.io/
https://www.youtube.com/watch?v=0Im5iaYoz1Y&t=19s,https://risencrypto.github.io/
https://www.youtube.com/watch?v=U3fTTqHy7F4,https://risencrypto.github.io/
https://www.youtube.com/watch?v=Ehm-OYBmlPM,https://risencrypto.github.io/
https://www.youtube.com/watch?v=lU8nJ4hViws,
https://www.youtube.com/watch?v=6e8n_GedrMY,
https://www.youtube.com/watch?v=cu5S87U2dXs,
https://www.youtube.com/watch?v=KNK-W8JDuWg,
https://www.youtube.com/watch?v=ZmhdNiGOMRU,
https://www.youtube.com/watch?v=8xFVC9T9LR4,https://mteam.space/eth-sequencing-preconfs-resources/based_rollups.html
https://www.youtube.com/watch?v=2IK136vz-PM,https://mteam.space/eth-sequencing-preconfs-resources/based_rollups.html
https://www.youtube.com/watch?v=mAGGdPRmhsc,https://mteam.space/eth-sequencing-preconfs-resources/based_rollups.html
https://www.youtube.com/watch?v=6xS0xMzh9Tc,https://mteam.space/eth-sequencing-preconfs-resources/based_rollups.html
https://www.youtube.com/watch?v=-aK6VrmK0yk,
https://www.youtube.com/watch?v=fgnJqEGjdz8,
https://www.youtube.com/watch?v=NtFCliDucMs,
https://www.youtube.com/watch?v=yfy0dulUG5o,
https://www.youtube.com/watch?v=FJjL6P5NeHY,
https://www.youtube.com/watch?v=YDP6mvcxwdg,
https://www.youtube.com/watch?v=16p7YG8S3ec,
https://www.youtube.com/watch?v=pwDtKUE21l8,
https://www.youtube.com/watch?v=eWxDwguwtvI,
https://www.youtube.com/watch?v=aCrOjLiW5f0,
https://www.youtube.com/watch?v=JFnF1dgbF00,
https://www.youtube.com/watch?v=0pkWmH1b0U4,
https://www.youtube.com/watch?v=QwXGt-OGSEE,
https://www.youtube.com/watch?v=M2JS4GvTf8Uhttps://www.youtube.com/watch?v=XCnJZLleS5Q,
https://www.youtube.com/watch?v=at_p72Ccy0E,
https://www.youtube.com/watch?v=grRJ2G2s2Lo,
https://www.youtube.com/watch?v=cdT07-m1tU0,
https://www.youtube.com/watch?v=1gxweVY9edU,
https://www.youtube.com/watch?v=Q-9dD2nqrbc,
https://www.youtube.com/watch?v=tkDvInrB6oo,
https://www.youtube.com/watch?v=B982EIUWxqw,https://twitter.com/0xflashmine/status/1784421676102402313
https://www.youtube.com/watch?v=W_H69slYWp8&list=PLz3vbkrzRoXR_XIWVqnZcX11REeC6acN2,
